"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 21:27:48 IST 2022","Thu Jul 07 21:27:49 IST 2022","1293","","Sample Live Test Scenario: add the product into the cart","","Sample Live Test Scenario: add the product into the cart","Given click on any product","Given click on any product",""
"passed","Thu Jul 07 21:27:43 IST 2022","Thu Jul 07 21:27:47 IST 2022","4510","","Sample Live Test Scenario: test login","","Sample Live Test Scenario: test login","When I login with existing user","When I login with existing user",""
"failed","Thu Jul 07 21:27:47 IST 2022","Thu Jul 07 21:27:48 IST 2022","474","","Sample Live Test Scenario: test login","","Sample Live Test Scenario: test login","Then I should see a welcome message","Then I should see a welcome message",""
"passed","Thu Jul 07 21:27:48 IST 2022","Thu Jul 07 21:27:48 IST 2022","2","","Sample Live Test Scenario: test login","","Sample Live Test Scenario: test login","","",""
"passed","Thu Jul 07 21:27:59 IST 2022","Thu Jul 07 21:27:59 IST 2022","2","","Sample Live Test Scenario: Proceed to the checkout page and continue till payments","","Sample Live Test Scenario: Proceed to the checkout page and continue till payments","","",""
"passed","Thu Jul 07 21:27:53 IST 2022","Thu Jul 07 21:27:56 IST 2022","2364","","Sample Live Test Scenario: Proceed to the checkout page and continue till payments","","Sample Live Test Scenario: Proceed to the checkout page and continue till payments","Given click on checkout Button","Given click on checkout Button",""
"passed","Thu Jul 07 21:27:56 IST 2022","Thu Jul 07 21:27:59 IST 2022","3182","","Sample Live Test Scenario: Proceed to the checkout page and continue till payments","","Sample Live Test Scenario: Proceed to the checkout page and continue till payments","Then verify your ORDER has been Proceed and click continue","Then verify your ORDER has been Proceed and click continue",""
"passed","Thu Jul 07 21:27:30 IST 2022","Thu Jul 07 21:27:43 IST 2022","12828","","Sample Live Test Scenario: test login","","Sample Live Test Scenario: test login","Given I am on the login page","Given I am on the login page",""
"passed","Thu Jul 07 21:27:49 IST 2022","Thu Jul 07 21:27:51 IST 2022","2045","","Sample Live Test Scenario: add the product into the cart","","Sample Live Test Scenario: add the product into the cart","When selected on product","When selected on product",""
"passed","Thu Jul 07 21:27:53 IST 2022","Thu Jul 07 21:27:53 IST 2022","2","","Sample Live Test Scenario: add the product into the cart","","Sample Live Test Scenario: add the product into the cart","","",""
"passed","Thu Jul 07 21:27:51 IST 2022","Thu Jul 07 21:27:53 IST 2022","1997","","Sample Live Test Scenario: add the product into the cart","","Sample Live Test Scenario: add the product into the cart","Then Add that product into cart","Then Add that product into cart",""
"passed","Thu Jul 07 21:27:56 IST 2022","Thu Jul 07 21:27:56 IST 2022","133","","Sample Live Test Scenario: Proceed to the checkout page and continue till payments","","Sample Live Test Scenario: Proceed to the checkout page and continue till payments","When Hit Confirm order","When Hit Confirm order",""
